file_id,api_seq_1,api_seq_2,api_seq_3,api_seq_4,api_seq_5,api_seq_6,api_seq_7,api_seq_8,api_seq_9,api_seq_10,api_seq_11,api_seq_12,api_seq_13,api_seq_14,api_seq_15,api_seq_16,api_seq_17,api_seq_18,api_seq_19,api_seq_20,api_seq_21,api_seq_22,api_seq_23,api_seq_24,api_seq_25,api_seq_26,api_seq_27,api_seq_28,api_seq_29,api_seq_30,api_seq_31,api_seq_32,api_seq_33,api_seq_34,api_seq_35,api_seq_36,api_seq_37,api_seq_38,api_seq_39,api_seq_40,api_seq_41,api_seq_42,api_seq_43,api_seq_44,api_seq_45,api_seq_46,api_seq_47,api_seq_48,api_seq_49,api_seq_50,api_seq_51,api_seq_52,api_seq_53,api_seq_54,api_seq_55,api_seq_56,api_seq_57,api_seq_58,api_seq_59,api_seq_60,api_seq_61,api_seq_62,api_seq_63,api_seq_64,api_seq_65,api_seq_66
0,0,0,0,0,0,0,0,8,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,151,0,131,0,0,0,0,0
4,0,0,665,0,16,2863,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,662,0,627,0,0,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2948,0,20,1414,0,0,0,2,0,632,205,5,31,210,430,0,36,36,421,0,0,2,0,0,0,0,0,2,5,0,0,0,0,20,0,0,0,0,41,0,0,0,0,0,0,0,0,24,16,29,0,0,0,0,5,24,5,6,0,0,0,0,0,0,0,0
24,42,0,508,0,0,0,0,6,0,0,0,26,0,0,0,10,9,0,0,0,6,8,0,0,0,0,0,0,13,0,0,0,0,6,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
41,0,0,2,0,0,0,8,0,0,0,0,36,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,550,0,0,0,3968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0
43,1030,0,509,28,0,0,0,99,0,15,45,211,103,23,9,14,1179,79,30,0,591,36,0,0,0,0,1,123,25,0,0,0,0,75,39,106,0,0,1,14,24,9,0,3,0,0,0,160,125,134,0,0,10,0,0,138,3,6,0,9,0,0,0,0,0,0
44,0,0,8,0,0,0,0,5,0,0,0,41,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,2,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1939,0,5,154,21,0,0,2,0,9,104,4,13,105,0,0,15,12,35,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,0,0,69,0,0,0,0,0,0,0,0,108,0,6,0,0,0,0,0,140,89,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,2,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,50,0,254,237,162,0,0,405,3,0,2,55,6,2,4,2,44,6,0,0,42,90,0,0,0,0,0,28,14,194,0,0,0,3,0,5,0,0,0,15,9,3,0,3,0,0,0,6,6,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
134,24,0,170,14,0,0,0,61,0,0,1,11,16,1,0,0,24,17,0,0,4,2,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,2,4,0,0,0,0,0,0,0,9,9,16,0,0,0,0,0,3,0,60,0,0,0,0,0,0,0,0
142,3092,0,309,6,0,0,0,19,9,531,160,6,40,177,354,0,61,57,355,0,4,2,0,0,0,0,0,2,0,0,0,1,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,29,35,42,0,0,0,0,2,58,14,0,0,0,0,0,0,0,0,0
146,0,0,416,0,60,304,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,0,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1006,0,554,9,0,0,0,68,0,0,25,230,96,12,4,9,1072,77,0,0,566,61,0,0,0,0,1,77,17,0,0,0,0,75,21,103,0,0,2,11,24,9,0,3,0,0,0,76,78,94,0,0,1,0,0,41,4,0,0,9,0,0,0,0,0,0
162,0,0,42,0,197,27,146,0,0,0,0,20,0,0,0,7,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,353,127,146,146,7,17,1,116,117,99,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,6,0,0,0,0,0,0,0,0,682,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,7,0,88,3,0,0,0,10,0,0,0,1,5,1,0,1,1,6,8,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
182,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,90,0,160,16,7,0,0,4,0,24,21,13,39,18,2,0,113,32,88,9,72,2,0,0,0,0,0,0,2,57,0,0,0,0,1,1,0,0,0,0,0,0,0,179,56,0,0,42,30,43,0,0,0,0,0,34,4,1,0,0,0,0,0,0,0,0
