file_id,label,file_id_N,api_unique,tid_unique,rv_unique
0,0,424,19,1,6
1,5,2,2,1,1
2,5,34,15,1,6
3,5,2800,65,5,95
4,5,6832,78,6,153
21,0,16,9,1,9
23,0,10002,56,8,28
24,2,1084,26,8,20
41,0,219,28,9,19
42,0,5001,34,2,98
43,3,10345,80,54,83
44,3,381,36,6,28
82,0,44,18,3,13
86,0,74,11,1,6
99,0,5001,65,3,47
106,0,44,18,3,13
124,0,46,14,1,6
131,0,3932,51,5,165
134,0,1899,53,6,32
142,0,10002,61,8,50
146,0,1394,45,1,87
153,0,20,13,1,9
160,5,102,14,3,6
161,3,7300,76,32,67
162,3,7843,96,39,126
163,2,2671,55,20,71
181,0,1048,64,6,44
182,0,56,18,3,13
190,0,5001,107,9,242
202,5,15951,77,37,249
203,5,6,2,3,1
211,0,8086,84,27,167
216,0,290,25,1,7
252,0,5269,65,10,33
257,0,940,49,4,23
264,0,13227,67,15,163
291,0,2603,37,3,24
298,5,3035,30,9,15
299,5,10680,65,16,55
303,0,77,11,1,6
306,0,12893,70,15,148
312,5,15816,67,11,61
313,5,257,32,1,12
314,5,3,1,3,1
315,5,257,32,1,12
317,0,84,15,3,4
319,0,1087,68,9,41
344,0,1151,57,2,41
346,5,3059,66,4,97
347,5,2,2,1,1
348,5,12343,91,21,129
363,0,5001,70,3,96
367,0,5001,54,4,27
380,0,22,11,1,9
383,0,816,56,3,29
395,0,554,56,4,41
397,0,123,34,5,16
402,0,439,35,1,75
408,5,4,1,4,1
411,0,43,18,3,14
416,0,25728,70,32,189
418,0,234,36,2,12
423,0,18733,63,13,50
437,0,382,38,1,36
448,0,109,20,3,20
453,0,258,44,3,39
455,0,4842,66,3,43
461,0,5001,62,1,93
468,5,3,1,3,1
469,5,210,15,3,8
470,5,18671,119,29,470
477,0,8708,97,21,111
479,0,2,2,1,2
487,0,5256,73,4,99
503,1,73,22,1,11
504,1,1452,45,16,33
506,0,5001,45,2,137
551,0,314,33,2,16
563,0,136,30,1,10
571,0,118,24,1,12
573,0,5001,94,12,248
577,0,1093,65,6,46
580,0,356,36,1,56
603,5,4840,66,8,46
604,5,3666,36,6,15
605,5,2480,64,3,28
606,5,3090,65,6,40
613,0,124,21,1,9
614,0,54,21,1,5
616,0,44,18,3,13
618,0,848,48,6,32
626,0,273,28,3,26
631,0,2664,63,13,54
638,0,121,24,1,11
641,5,12610,59,24,40
642,5,8,2,4,1
643,5,38681,122,48,580
644,5,7337,65,24,47
645,5,17955,51,18,101
652,5,6,2,3,1
653,5,2,1,2,1
654,5,144,26,1,56
657,5,326,15,1,7
658,5,6590,97,16,251
659,5,2616,64,3,29
660,0,101,22,1,10
667,0,8022,83,23,127
674,0,89,22,2,20
690,0,3932,57,9,50
692,0,44,16,3,14
700,5,3,1,3,1
701,5,64,16,1,5
702,5,6832,61,4,45
705,5,32343,122,270,290
708,0,872,63,5,140
710,3,19169,94,87,206
714,0,122,22,1,22
717,0,1148,53,3,32
723,0,40,14,3,13
749,0,827,56,3,29
765,0,53,18,3,13
770,0,988,24,2,14
776,0,512,21,3,15
780,0,1040,55,6,115
791,0,8290,81,15,169
798,5,811,31,1,104
799,5,6,2,3,1
800,5,5001,58,3,154
803,0,49,11,1,3
811,0,46,9,1,4
822,0,3234,57,8,52
825,0,357,36,1,56
832,0,871,67,7,50
838,5,639,35,1,64
839,5,257,32,1,12
840,5,81,9,3,4
850,0,954,52,3,31
851,2,13553,74,22,143
866,0,56,18,3,13
882,0,158,16,2,8
893,0,3837,80,12,86
895,0,44,18,3,13
896,0,242,39,2,20
903,0,263,24,1,76
909,0,1229,62,4,41
915,0,45,18,3,13
916,0,127,37,5,15
926,0,14738,90,30,208
928,5,257,32,1,12
929,5,496,53,2,48
930,5,215,26,6,6
931,5,7358,42,12,27
932,5,1189,65,2,29
954,0,86,18,3,14
960,0,5001,45,1,107
981,0,58,27,1,7
992,0,44,18,3,13
994,2,87,20,3,5
995,1,963,45,12,28
1002,5,2924,43,21,146
1003,5,12244,79,22,96
1004,5,9965,82,15,78
1011,0,44,18,1,12
1013,0,452,41,1,44
1022,0,42,15,2,12
1024,0,507,51,4,79
1027,0,36,20,1,5
1033,0,3316,52,3,58
1038,0,42,17,1,4
1041,5,6,2,3,1
1042,5,2,2,1,1
1043,5,20004,78,11,384
1044,1,1422,45,18,34
1055,0,43,18,3,14
1061,0,366,24,3,11
1076,0,1520,60,3,42
1089,0,119,24,1,11
1092,0,44,18,3,13
1094,0,44,18,3,13
1095,0,3102,80,12,96
1101,0,758,26,3,76
1109,0,1746,63,6,43
1115,0,10002,55,8,513
1127,0,2009,60,6,34
1130,2,536,30,2,11
1133,0,23917,109,47,506
1137,0,1012,20,2,12
1142,5,2,2,1,1
1143,5,6828,64,5,147
1150,0,4256,58,4,146
1160,0,2828,81,12,109
1167,0,44,18,3,13
1173,0,79,19,3,13
1187,0,4872,73,19,50
1195,0,44,15,3,14
1197,5,3023,66,4,97
1199,0,92,7,1,4
1207,5,3,1,3,1
1208,5,6820,69,6,98
1209,5,4708,66,21,111
1213,0,108,27,3,16
1226,0,128,20,1,12
1255,0,5001,76,4,516
1260,5,3550,52,19,35
1261,5,978,15,3,7
1262,5,2,2,1,1
1271,0,23,12,1,6
1274,5,25005,53,5,278
1275,5,2572,32,4,11
1280,5,36,17,1,8
1281,5,8,2,4,1
1282,5,2,2,1,1
1283,0,90,18,2,12
1295,0,21,11,1,2
1312,0,16,9,1,9
1323,0,16,9,1,9
1329,0,24,12,1,10
1335,0,87,27,1,10
1339,0,38,14,1,4
1345,0,3750,65,3,48
1358,0,48,21,1,5
1364,3,6004,73,26,60
1366,0,234,19,2,6
1369,0,814,56,3,29
1380,0,4825,62,4,55
1395,0,192,22,8,6
1429,0,442,41,1,49
1431,0,56,20,1,4
1448,3,13603,60,42,135
1449,4,11514,92,59,148
1450,5,4,1,4,1
1473,0,6366,73,74,333
1490,0,922,50,4,23
1494,0,1180,52,4,34
1496,0,10002,65,7,415
1501,0,4500,37,1,74
1506,0,1447,56,6,55
1508,0,4532,65,6,61
1514,3,620,42,8,40
1526,0,44,18,3,13
1531,0,10002,66,4,310
1537,0,736,44,4,42
1550,5,6808,63,3,121
1551,5,144,26,1,56
1555,5,462,33,1,12
1559,0,1445,57,4,37
1562,5,7092,32,8,16
1563,5,168,11,4,5
1564,5,4415,102,12,71
1571,0,2521,100,12,116
1573,0,13866,62,15,41
1577,0,4745,37,3,259
1592,0,1984,68,6,63
1601,0,154,23,6,11
1634,2,268,30,1,11
1635,3,4293,89,28,64
1636,3,5993,78,32,62
1637,0,9279,62,10,40
1646,0,54,17,2,11
1647,0,79,14,1,6
1653,0,262,30,3,24
1656,0,93,20,3,15
1657,5,1210,57,2,96
1658,5,20436,62,9,146
1659,5,27322,73,19,71
1660,5,6860,62,3,114
1665,0,340,16,2,72
1666,0,17,8,1,3
1670,0,12026,94,29,172
1674,0,48,17,1,4
1688,0,2029,49,1,97
1701,0,5001,91,7,319
1702,0,44,18,3,13
1715,0,75,14,1,4
1716,0,16,9,1,9
1737,0,62,16,1,4
1773,0,5001,11,1,2
1775,0,18,8,1,4
1779,0,1030,53,13,32
1783,0,42,15,3,13
1786,0,36,10,1,4
1791,0,99,22,3,22
1792,0,5001,58,3,40
1793,0,45,18,3,13
1813,0,13442,104,33,181
1828,0,10002,56,8,35
1830,0,32,15,1,10
1834,0,44,18,3,13
1848,0,7712,26,4,13
1850,0,248,30,3,29
1856,0,4557,62,5,46
1860,0,40,14,3,13
1866,0,44,18,3,13
1874,0,4603,61,3,35
1894,0,1105,58,6,43
1906,0,1042,62,6,42
1910,0,455,36,1,23
1924,0,6926,76,4,573
1943,0,23125,107,48,250
1944,5,9455,63,16,35
1970,0,1096,65,6,47
1975,0,7881,83,29,114
1985,0,10002,112,20,348
1996,0,1210,64,6,51
1999,0,924,50,4,23
2001,5,2,1,2,1
2002,5,27358,68,15,168
2003,5,71,25,2,6
2004,5,2,2,1,1
2005,5,30006,63,14,148
2010,0,16,9,1,10
2021,0,166,36,2,10
2033,5,15003,100,61,391
2047,0,4106,41,2,29
2050,0,11433,57,10,174
2058,0,1279,65,6,53
2072,0,951,43,18,18
2095,0,1813,56,8,25
2096,0,39854,71,32,292
2100,0,8493,110,19,121
2124,0,44,8,1,3
2145,0,1146,60,3,48
2147,0,13808,54,15,30
2163,0,10004,98,23,576
2169,0,29668,80,29,183
2178,5,4609,52,15,85
2179,5,29851,119,253,304
2180,5,6840,76,6,129
2183,0,837,56,4,49
2185,0,72,20,2,4
2191,0,20004,67,7,369
2193,0,16,9,1,9
2229,5,8284,67,11,46
2230,5,20448,62,9,144
2243,0,3350,79,9,84
2254,0,27,11,1,3
2264,0,5001,94,4,145
2271,0,66,21,1,10
2273,0,118,24,1,12
2275,0,436,29,4,7
2283,0,78,17,5,14
2293,0,5001,93,18,121
2297,0,45,18,3,13
2303,0,5001,62,3,41
2330,0,398,32,4,120
2336,0,16,9,1,9
2345,0,15003,122,31,241
2362,0,79,19,1,3
2410,0,43,18,3,14
2412,0,13,6,1,3
2415,0,1642,56,6,45
2449,0,902,32,2,10
2474,0,6,1,2,1
2481,0,139,27,3,22
2500,0,5001,44,1,76
2517,0,578,42,6,85
2536,0,649,37,2,61
2543,0,864,52,3,29
2558,0,1976,44,4,91
2573,0,5001,43,1,21
2597,3,14476,95,67,152
2600,0,3670,62,4,126
2601,2,2152,32,4,14
2602,3,9863,89,39,89
2603,3,14351,100,64,175
2613,0,5001,58,2,36
2618,0,22,11,1,9
2622,0,10002,43,2,183
2628,5,7841,94,16,212
2629,5,513,50,1,47
2630,5,1080,50,5,55
2631,5,5001,53,1,144
2640,0,4247,59,4,128
2647,0,62,19,1,9
2652,0,5001,68,9,45
2659,0,18897,62,18,58
2660,0,161,24,3,23
2676,3,2403,49,23,37
2677,2,268,30,1,11
2678,3,237,24,3,13
2686,0,1252,62,6,52
2695,0,16,9,1,9
2711,0,43,18,3,14
2712,0,88,20,2,9
2719,5,350,15,5,9
2720,3,16050,108,86,291
2721,5,4,1,4,1
2741,0,1843,62,2,105
2777,0,5001,62,2,184
2784,2,206,30,1,10
2785,0,587,49,6,105
2788,0,847,55,3,83
2800,0,16,9,1,9
2811,0,1216,25,2,12
2816,0,17,7,1,3
2817,0,454,41,1,46
2820,0,48264,68,37,287
2824,0,16,9,1,9
2826,0,390,41,1,52
2829,0,16,9,1,9
2830,0,121,24,1,12
2840,0,146,17,2,4
2842,0,152,21,3,22
2851,0,137,31,1,10
2855,0,2186,24,1,48
2857,0,10462,81,12,59
2866,0,30006,109,40,619
2867,0,5001,27,3,1113
2870,0,423,39,1,49
2875,0,10002,93,19,199
2893,0,119,17,4,5
2901,0,168,4,2,2
2907,0,5001,76,10,160
2921,0,137,20,3,21
2938,0,64,16,1,7
2951,0,15,9,1,4
2973,0,1027,52,3,32
2990,0,5001,61,7,89
2991,0,36,9,2,4
2992,0,108,10,3,4
3000,0,16,9,1,10
3007,0,45,18,3,14
3016,0,16,9,1,10
3035,0,894,52,7,32
3038,0,6401,91,11,84
3048,0,5001,75,3,149
3051,0,44,18,3,13
3052,0,42,15,3,13
3063,5,6,2,3,1
3064,3,260,23,4,14
3065,0,634,37,1,26
3096,0,16,9,1,9
3104,5,9361,73,9,63
3105,5,28,15,1,5
3106,5,4537,70,3,64
3108,0,4641,62,5,34
3146,5,70,15,1,6
3147,5,20402,78,14,80
3170,0,5001,67,3,54
3175,0,4,3,1,4
3177,0,97,19,3,20
3178,0,43,18,3,14
3185,2,1324,34,4,12
3186,2,1324,34,4,12
3187,2,268,30,1,11
3188,2,1020,32,4,13
3223,0,351,16,1,5
3235,0,222,22,3,23
3245,0,3219,81,12,98
3246,0,318,39,3,15
3249,3,20004,61,129,150
3250,3,16031,99,79,250
3251,3,1514,73,7,34
3252,3,13968,61,42,63
3271,0,166,36,2,10
3283,0,22,11,1,9
3291,0,22,10,1,7
3296,0,20,13,1,9
3303,5,1304,15,4,7
3315,5,6281,64,9,45
3316,5,345,41,1,14
3317,5,2590,52,1,54
3318,0,1362,69,9,48
