file_id,rv_1,rv_2,rv_3,rv_4,rv_5,rv_6,rv_7,rv_8,rv_9,rv_10,rv_11,rv_12,rv_13,rv_14,rv_15,rv_16,rv_17,rv_18,rv_19,rv_20,rv_21,rv_22,rv_23,rv_24,rv_25,rv_26,rv_27,rv_28,rv_29,rv_30,rv_31,rv_32,rv_33,rv_34,rv_35,rv_36,rv_37,rv_38,rv_39,rv_40,rv_41,rv_42,rv_43,rv_44,rv_45,rv_46,rv_47,rv_48,rv_49,rv_50,rv_51,rv_52,rv_53,rv_54,rv_55,rv_56,rv_57,rv_58,rv_59,rv_60,rv_61
0,340,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,27,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1368,1208,46,9,0,1,2,2,17,5,0,1,8,0,4,0,6,2,2,3,6,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,2120,4120,34,42,0,4,6,25,33,32,0,2,26,0,13,4,56,7,3,5,12,0,0,1,8,3,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0
21,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,6330,68,3474,30,0,0,0,0,0,8,2,2,0,20,4,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
24,932,46,46,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,192,2,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,4668,5,12,6,0,1,8,1,14,0,0,1,26,0,15,0,39,13,1,8,9,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
43,6925,220,2174,75,0,50,0,25,0,120,6,70,45,10,65,30,0,90,20,45,10,0,0,30,15,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,5,0,125,0,0,0,50,0,0,0,0,10,0,0,0,0,0,0,0
44,261,18,27,6,0,0,0,0,0,0,0,3,3,0,3,12,0,0,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
82,24,1,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
